indicator,ticker,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,
Receivables,NKE,2985000000.0,3138000000.0,3279000000.0,3103000000.0,3296000000.0,3280000000.0,3431000000.0,3188000000.0,3232000000.0,3117000000.0,3207000000.0,3208000000.0,3355000000.0,3434000000.0,3587000000.0,3457000000.0,3294000000.0,3358000000.0,3288000000.0,3437000000.0,3368000000.0,3241000000.0,3526000000.0,3478000000.0,3752000000.0,3677000000.0,3871000000.0,3613000000.0,3792000000.0,3498000000.0,4330000000.0,4346000000.0,4549000000.0,4272000000.0,4656000000.0,
Receivables,NVDA,343202000.0,419944000.0,371261000.0,336143000.0,411155000.0,445312000.0,444944000.0,454252000.0,346998000.0,418123000.0,447631000.0,426357000.0,396438000.0,469625000.0,563400000.0,473637000.0,455000000.0,514000000.0,536000000.0,505000000.0,523000000.0,644000000.0,833000000.0,826000000.0,976000000.0,1213000000.0,1167000000.0,1265000000.0,1220000000.0,1662000000.0,2219000000.0,1424000000.0,1242000000.0,1561000000.0,1455000000.0,
Receivables,ORCL,4495000000.0,6628000000.0,4194000000.0,4434000000.0,4656000000.0,6377000000.0,3775000000.0,4401000000.0,4169000000.0,6049000000.0,3450000000.0,4192000000.0,4071000000.0,6087000000.0,3551000000.0,4326000000.0,4178000000.0,5618000000.0,3475000000.0,3956000000.0,3844000000.0,5385000000.0,3407000000.0,3690000000.0,3721000000.0,5300000000.0,3591000000.0,3798000000.0,3902000000.0,5279000000.0,3729000000.0,3975000000.0,3993000000.0,5134000000.0,3820000000.0,
Receivables,OXY,6009000000.0,5542000000.0,4829000000.0,5395000000.0,5712000000.0,4959000000.0,5354000000.0,4916000000.0,4995000000.0,5221000000.0,5653000000.0,5674000000.0,5233000000.0,5826000000.0,4960000000.0,4206000000.0,3068000000.0,3973000000.0,3507000000.0,2970000000.0,2780000000.0,3113000000.0,3521000000.0,3989000000.0,4316000000.0,3913000000.0,3749000000.0,4145000000.0,5184000000.0,5521000000.0,6000000000.0,4893000000.0,5310000000.0,5300000000.0,5900000000.0,
Receivables,PEP,6937000000.0,8283000000.0,8330000000.0,6912000000.0,7158000000.0,7721000000.0,7998000000.0,7041000000.0,7234000000.0,7981000000.0,8088000000.0,6954000000.0,7262000000.0,8470000000.0,8376000000.0,6651000000.0,6963000000.0,7826000000.0,7666000000.0,6437000000.0,6707000000.0,7495000000.0,7745000000.0,6694000000.0,6848000000.0,7543000000.0,7923000000.0,7024000000.0,7171000000.0,7841000000.0,7975000000.0,7142000000.0,7604000000.0,8502000000.0,8735000000.0,
Receivables,PFE,0.0,15192000000.0,15749000000.0,13608000000.0,14182000000.0,12882000000.0,12523000000.0,12378000000.0,12735000000.0,11523000000.0,11371000000.0,9357000000.0,9399000000.0,10388000000.0,9955000000.0,8669000000.0,8920000000.0,8951000000.0,9535000000.0,8176000000.0,9033000000.0,9138000000.0,9836000000.0,8225000000.0,8892000000.0,9476000000.0,10002000000.0,8221000000.0,9452000000.0,9873000000.0,10024000000.0,8025000000.0,9599000000.0,9793000000.0,9439000000.0,
Receivables,PG,6264000000.0,6275000000.0,6584000000.0,6905000000.0,6200000000.0,6068000000.0,6993000000.0,7183000000.0,6669000000.0,6508000000.0,6555000000.0,6911000000.0,6353000000.0,6386000000.0,6197000000.0,5802000000.0,4990000000.0,4861000000.0,4724000000.0,4721000000.0,4591000000.0,4373000000.0,4713000000.0,4729000000.0,4358000000.0,4594000000.0,4942000000.0,5182000000.0,5149000000.0,4686000000.0,5035000000.0,5055000000.0,5198000000.0,4951000000.0,5143000000.0,
Receivables,PM,2991000000.0,3443000000.0,3242000000.0,3201000000.0,3472000000.0,3553000000.0,3562000000.0,3589000000.0,3591000000.0,3964000000.0,3659000000.0,3853000000.0,3408000000.0,4081000000.0,3785000000.0,4004000000.0,3741000000.0,3619000000.0,3322000000.0,2778000000.0,2989000000.0,3085000000.0,3100000000.0,3499000000.0,3090000000.0,3648000000.0,3985000000.0,3738000000.0,3373000000.0,2936000000.0,2936000000.0,2950000000.0,2958000000.0,3506000000.0,3073000000.0,
Receivables,QCOM,715000000.0,832000000.0,993000000.0,1035000000.0,1189000000.0,1250000000.0,1459000000.0,1647000000.0,1889000000.0,1949000000.0,2142000000.0,1327000000.0,2217000000.0,2084000000.0,2412000000.0,2239000000.0,2058000000.0,1961000000.0,1964000000.0,1323000000.0,1738000000.0,1939000000.0,2219000000.0,2085000000.0,4201000000.0,3532000000.0,3632000000.0,3053000000.0,3535000000.0,3163000000.0,2904000000.0,3426000000.0,3638000000.0,2390000000.0,2471000000.0,
Receivables,RTN,0.0,0.0,0.0,89000000.0,0.0,0.0,0.0,3551000000.0,0.0,0.0,0.0,3787000000.0,0.0,0.0,0.0,4029000000.0,0.0,0.0,0.0,9248000000.0,0.0,0.0,0.0,2051000000.0,0.0,5728000000.0,5892000000.0,5247000000.0,5444000000.0,5642000000.0,5715000000.0,5594000000.0,5971000000.0,6130000000.0,6498000000.0,
Receivables,SBUX,355700000.0,361500000.0,386500000.0,431000000.0,437400000.0,433000000.0,485900000.0,469200000.0,520000000.0,506800000.0,561400000.0,589800000.0,590000000.0,580900000.0,631000000.0,664900000.0,655600000.0,672700000.0,719000000.0,764400000.0,743700000.0,747300000.0,768800000.0,865100000.0,791000000.0,791100000.0,870400000.0,851800000.0,869600000.0,854800000.0,693100000.0,721400000.0,703600000.0,790600000.0,879200000.0,
Receivables,SLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Receivables,SO,0.0,0.0,0.0,0.0,0.0,1164000000.0,1369000000.0,961000000.0,1011000000.0,1164000000.0,1292000000.0,1027000000.0,1063000000.0,83332000.0,98357000.0,1090000000.0,79000000.0,93000000.0,100000000.0,1903000000.0,988000000.0,1281000000.0,1718000000.0,1565000000.0,1560000000.0,1600000000.0,1744000000.0,1806000000.0,1683000000.0,1728000000.0,1730000000.0,1726000000.0,1715000000.0,1654000000.0,1812000000.0,
Receivables,SPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Receivables,T,13246000000.0,13608000000.0,13377000000.0,13606000000.0,13167000000.0,12430000000.0,12398000000.0,12657000000.0,12100000000.0,12508000000.0,12444000000.0,12918000000.0,13120000000.0,13001000000.0,13445000000.0,14527000000.0,13592000000.0,13821000000.0,16329000000.0,16532000000.0,16070000000.0,15830000000.0,16855000000.0,16794000000.0,15078000000.0,14997000000.0,15876000000.0,16522000000.0,16290000000.0,25492000000.0,26312000000.0,26472000000.0,23863000000.0,22381000000.0,22921000000.0,
Receivables,TGT,0.0,0.0,0.0,0.0,0.0,5540000000.0,5647000000.0,5841000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Receivables,TMO,1565500000.0,1683400000.0,1811000000.0,1814100000.0,1894800000.0,1803500000.0,1829200000.0,1804900000.0,1904500000.0,1901500000.0,1945100000.0,1942300000.0,2695500000.0,2660100000.0,2507100000.0,2473600000.0,2538000000.0,2631000000.0,2543900000.0,2544900000.0,2668300000.0,2709100000.0,2895100000.0,3048500000.0,3096500000.0,3258300000.0,3657000000.0,3879000000.0,3990000000.0,3911000000.0,3852000000.0,4136000000.0,4155000000.0,4129000000.0,4384000000.0,
Receivables,TXN,1568000000.0,1672000000.0,1784000000.0,1545000000.0,1478000000.0,1629000000.0,1623000000.0,1230000000.0,1333000000.0,1491000000.0,1524000000.0,1203000000.0,1355000000.0,1527000000.0,1477000000.0,1246000000.0,1394000000.0,1434000000.0,1481000000.0,1165000000.0,1269000000.0,1348000000.0,1447000000.0,1267000000.0,1337000000.0,1469000000.0,1576000000.0,1278000000.0,1454000000.0,1551000000.0,1585000000.0,1207000000.0,1440000000.0,1419000000.0,1342000000.0,
Receivables,UNH,2495000000.0,2851000000.0,2234000000.0,2294000000.0,2688000000.0,2648000000.0,2403000000.0,2709000000.0,3185000000.0,3674000000.0,2853000000.0,3052000000.0,4202000000.0,5383000000.0,3826000000.0,4252000000.0,5040000000.0,6034000000.0,6752000000.0,6523000000.0,7777000000.0,9346000000.0,7347000000.0,8152000000.0,9595000000.0,10538000000.0,8638000000.0,9568000000.0,11512000000.0,10874000000.0,10992000000.0,11388000000.0,12826000000.0,9741000000.0,10964000000.0,
Receivables,UNP,1275000000.0,1427000000.0,1424000000.0,1401000000.0,1327000000.0,1497000000.0,1583000000.0,1331000000.0,1512000000.0,1468000000.0,1469000000.0,1414000000.0,1542000000.0,1666000000.0,1635000000.0,1611000000.0,1564000000.0,1513000000.0,1508000000.0,1356000000.0,1355000000.0,1373000000.0,1351000000.0,1258000000.0,1279000000.0,1357000000.0,1428000000.0,1493000000.0,1571000000.0,1634000000.0,1792000000.0,1755000000.0,1672000000.0,1809000000.0,1650000000.0,
Receivables,UPS,5462000000.0,5602000000.0,5418000000.0,6246000000.0,5637000000.0,5541000000.0,5545000000.0,6111000000.0,5617000000.0,5438000000.0,5592000000.0,6502000000.0,5804000000.0,5845000000.0,5822000000.0,6661000000.0,5724000000.0,5618000000.0,6055000000.0,7134000000.0,6241000000.0,6111000000.0,6272000000.0,7695000000.0,6475000000.0,6553000000.0,6937000000.0,8773000000.0,7606000000.0,7363000000.0,7494000000.0,8958000000.0,7613000000.0,8071000000.0,7951000000.0,
Receivables,USB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Receivables,UTX,0.0,0.0,0.0,1060000000.0,0.0,0.0,1036000000.0,1177000000.0,1162000000.0,1211000000.0,1260000000.0,1297000000.0,1314000000.0,1443000000.0,1443000000.0,1262000000.0,1480000000.0,1619000000.0,1254000000.0,1372000000.0,1277000000.0,1375000000.0,1415000000.0,1356000000.0,1301000000.0,1342000000.0,1536000000.0,1397000000.0,2989000000.0,3273000000.0,3450000000.0,3486000000.0,3795000000.0,4334000000.0,4316000000.0,
Receivables,V,538000000.0,551000000.0,560000000.0,629000000.0,655000000.0,793000000.0,723000000.0,801000000.0,802000000.0,779000000.0,761000000.0,840000000.0,832000000.0,824000000.0,822000000.0,900000000.0,896000000.0,892000000.0,847000000.0,922000000.0,944000000.0,1066000000.0,1041000000.0,1120000000.0,1081000000.0,1105000000.0,1132000000.0,1281000000.0,1259000000.0,1220000000.0,1208000000.0,1405000000.0,1404000000.0,1531000000.0,1542000000.0,
Receivables,VZ,11028000000.0,11483000000.0,11648000000.0,11776000000.0,11234000000.0,11595000000.0,12030000000.0,12576000000.0,11814000000.0,12216000000.0,12111000000.0,12439000000.0,12131000000.0,12966000000.0,13283000000.0,13993000000.0,12698000000.0,13444000000.0,13105000000.0,13457000000.0,12485000000.0,13294000000.0,14832000000.0,17513000000.0,16863000000.0,19771000000.0,21549000000.0,23493000000.0,22595000000.0,23099000000.0,24012000000.0,25102000000.0,24469000000.0,24926000000.0,24713000000.0,
Receivables,WBA,2497000000.0,2598000000.0,2497000000.0,2586000000.0,2509000000.0,2294000000.0,2167000000.0,2264000000.0,2481000000.0,2418000000.0,2632000000.0,2727000000.0,2774000000.0,3029000000.0,3218000000.0,0.0,7017000000.0,6899000000.0,6849000000.0,6821000000.0,6733000000.0,6508000000.0,6260000000.0,6138000000.0,5674000000.0,6339000000.0,6528000000.0,6858000000.0,7281000000.0,7159000000.0,6573000000.0,7144000000.0,7828000000.0,7239000000.0,7226000000.0,
Receivables,WFC,0.0,0.0,5172000000.0,5296000000.0,5412000000.0,5259000000.0,5302000000.0,5006000000.0,5294000000.0,5192000000.0,5221000000.0,5019000000.0,5159000000.0,5016000000.0,5236000000.0,4871000000.0,5095000000.0,5059000000.0,5244000000.0,19259000000.0,20318000000.0,19337000000.0,17709000000.0,16731000000.0,15670000000.0,14273000000.0,13564000000.0,12835000000.0,10709000000.0,9004000000.0,6941000000.0,5009000000.0,3200000000.0,1174000000.0,5962000000.0,
Receivables,WMT,726000000.0,820000000.0,972600000.0,1049000000.0,0.0,0.0,1000000000.0,1200000000.0,1100000000.0,1100000000.0,1200000000.0,1300000000.0,1200000000.0,1300000000.0,1300000000.0,1200000000.0,1300000000.0,941000000.0,944000000.0,1000000000.0,1100000000.0,1100000000.0,1200000000.0,1000000000.0,1200000000.0,1300000000.0,1300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Receivables,XOM,0.0,0.0,0.0,30044000000.0,0.0,0.0,36635000000.0,28373000000.0,0.0,0.0,0.0,25993000000.0,0.0,0.0,0.0,18541000000.0,0.0,0.0,0.0,13243000000.0,0.0,0.0,0.0,16033000000.0,0.0,0.0,0.0,21274000000.0,0.0,0.0,0.0,19638000000.0,0.0,0.0,0.0,
