date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2012-12-29,3207000000.0,0.0,3207000000.0,7315000000.0,1440000000.0,14322000000.0,21671000000.0,34965000000.0,2622000000.0,762000000.0,66320000000.0,80642000000.0,6767000000.0,4815000000.0,14498000000.0,12633000000.0,17448000000.0,2916000000.0,2854000000.0,0.0,22774000000.0,37272000000.0,-3128000000.0,43022000000.0,41016000000.0,2622000000.0,14241000000.0,2360000000.0,2916000000.0
2012-09-29,3387000000.0,0.0,3387000000.0,6540000000.0,1537000000.0,13709000000.0,21512000000.0,30125000000.0,2723000000.0,765000000.0,61189000000.0,74898000000.0,6393000000.0,3614000000.0,12813000000.0,10697000000.0,14311000000.0,2806000000.0,2251000000.0,0.0,20127000000.0,32940000000.0,-3266000000.0,42965000000.0,39759000000.0,2723000000.0,10924000000.0,2245000000.0,2806000000.0
2012-06-30,4374000000.0,0.0,4374000000.0,5951000000.0,1485000000.0,14754000000.0,20944000000.0,30113000000.0,2397000000.0,1482000000.0,60537000000.0,75291000000.0,5516000000.0,2569000000.0,11117000000.0,12454000000.0,15023000000.0,3032000000.0,3150000000.0,0.0,22101000000.0,33218000000.0,-2443000000.0,41720000000.0,40006000000.0,2397000000.0,10649000000.0,2944000000.0,3032000000.0
2012-03-31,3731000000.0,0.0,3731000000.0,6283000000.0,1503000000.0,14537000000.0,20842000000.0,30255000000.0,2484000000.0,1468000000.0,60696000000.0,75233000000.0,5908000000.0,3447000000.0,12724000000.0,12582000000.0,16029000000.0,3369000000.0,3206000000.0,0.0,22597000000.0,35321000000.0,-2481000000.0,39907000000.0,38049000000.0,2484000000.0,12298000000.0,3020000000.0,3369000000.0
2011-12-31,3766000000.0,0.0,3766000000.0,6787000000.0,1523000000.0,15060000000.0,19760000000.0,29233000000.0,2685000000.0,1489000000.0,58817000000.0,73877000000.0,7671000000.0,3160000000.0,13524000000.0,11226000000.0,14386000000.0,2693000000.0,2879000000.0,0.0,20930000000.0,34454000000.0,-2574000000.0,38762000000.0,37257000000.0,2685000000.0,10620000000.0,2984000000.0,2693000000.0
2011-10-01,3185000000.0,0.0,3185000000.0,6182000000.0,1595000000.0,13757000000.0,19695000000.0,29266000000.0,2435000000.0,1487000000.0,58367000000.0,72124000000.0,6362000000.0,3055000000.0,12088000000.0,10922000000.0,13977000000.0,2671000000.0,2866000000.0,0.0,20583000000.0,32671000000.0,-2630000000.0,38375000000.0,37385000000.0,2435000000.0,10792000000.0,2795000000.0,2671000000.0
2011-07-02,3519000000.0,0.0,3519000000.0,6212000000.0,1542000000.0,13643000000.0,19207000000.0,29230000000.0,2505000000.0,1051000000.0,57462000000.0,71105000000.0,5602000000.0,4062000000.0,12766000000.0,9176000000.0,13238000000.0,3102000000.0,2905000000.0,0.0,17417000000.0,30183000000.0,-1809000000.0,37288000000.0,38946000000.0,2505000000.0,9719000000.0,2370000000.0,3102000000.0
2011-04-02,3094000000.0,0.0,3094000000.0,6075000000.0,1453000000.0,13220000000.0,18898000000.0,29266000000.0,2499000000.0,1051000000.0,57368000000.0,70588000000.0,5150000000.0,4084000000.0,12803000000.0,8688000000.0,12772000000.0,3569000000.0,2841000000.0,0.0,17473000000.0,30276000000.0,-1837000000.0,35814000000.0,38650000000.0,2499000000.0,9678000000.0,2598000000.0,3569000000.0
2011-01-01,3039000000.0,0.0,3039000000.0,7028000000.0,1416000000.0,13994000000.0,18486000000.0,29314000000.0,2491000000.0,1052000000.0,56956000000.0,70950000000.0,7118000000.0,2822000000.0,12747000000.0,9933000000.0,12755000000.0,2807000000.0,2577000000.0,0.0,18464000000.0,31211000000.0,-1887000000.0,34873000000.0,37797000000.0,2491000000.0,9716000000.0,2511000000.0,2807000000.0
2010-10-02,2722000000.0,0.0,2722000000.0,5784000000.0,1442000000.0,12225000000.0,17806000000.0,29181000000.0,2513000000.0,1018000000.0,56981000000.0,69206000000.0,6109000000.0,2350000000.0,11000000000.0,10130000000.0,12480000000.0,2541000000.0,2630000000.0,0.0,18864000000.0,29864000000.0,-1881000000.0,34327000000.0,37519000000.0,2513000000.0,9758000000.0,2277000000.0,2541000000.0
2010-07-03,2951000000.0,0.0,2951000000.0,5744000000.0,1322000000.0,12601000000.0,17154000000.0,28774000000.0,2587000000.0,1162000000.0,55704000000.0,68305000000.0,5100000000.0,1823000000.0,9489000000.0,10804000000.0,12627000000.0,2566000000.0,3246000000.0,0.0,19215000000.0,28704000000.0,-1593000000.0,33493000000.0,37959000000.0,2587000000.0,9676000000.0,2584000000.0,2566000000.0
2010-04-03,3075000000.0,0.0,3075000000.0,5478000000.0,1225000000.0,12487000000.0,17334000000.0,28782000000.0,2607000000.0,1162000000.0,56273000000.0,68760000000.0,4879000000.0,2241000000.0,10052000000.0,11000000000.0,13241000000.0,2932000000.0,3085000000.0,0.0,19739000000.0,29791000000.0,-1559000000.0,32173000000.0,37480000000.0,2607000000.0,10166000000.0,2709000000.0,2932000000.0
2010-01-02,3204000000.0,0.0,3204000000.0,5972000000.0,1196000000.0,12945000000.0,17434000000.0,29165000000.0,2578000000.0,1170000000.0,56369000000.0,69314000000.0,6684000000.0,2642000000.0,11667000000.0,11189000000.0,13831000000.0,2341000000.0,2958000000.0,0.0,19689000000.0,31356000000.0,-1597000000.0,31225000000.0,36180000000.0,2578000000.0,10627000000.0,2573000000.0,2341000000.0
2009-10-03,3417000000.0,0.0,3417000000.0,4854000000.0,1271000000.0,51228000000.0,17597000000.0,23930000000.0,2554000000.0,1140000000.0,18758000000.0,63117000000.0,5616000000.0,1206000000.0,8934000000.0,11495000000.0,12701000000.0,2112000000.0,1819000000.0,0.0,18758000000.0,27692000000.0,-1644000000.0,31033000000.0,33734000000.0,2554000000.0,9284000000.0,2347000000.0,2112000000.0
2009-06-27,3128000000.0,0.0,3128000000.0,4944000000.0,1229000000.0,51085000000.0,17287000000.0,24671000000.0,1668000000.0,1024000000.0,19682000000.0,62584000000.0,4767000000.0,1142000000.0,8606000000.0,12552000000.0,13694000000.0,2697000000.0,2636000000.0,0.0,19682000000.0,28288000000.0,-22000000.0,30137000000.0,34296000000.0,1668000000.0,10566000000.0,2198000000.0,2697000000.0
