date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2015-06-30,6224000000.0,0.0,6224000000.0,9593000000.0,8061000000.0,24764000000.0,18580000000.0,16329000000.0,7197000000.0,2754000000.0,44570000000.0,69334000000.0,4492000000.0,1915000000.0,12765000000.0,17833000000.0,19748000000.0,0.0,1352000000.0,0.0,32118000000.0,44883000000.0,-8410000000.0,24606000000.0,23612000000.0,7197000000.0,13524000000.0,886000000.0,6358000000.0
2015-03-31,6288000000.0,0.0,6288000000.0,9289000000.0,8087000000.0,24394000000.0,18066000000.0,15801000000.0,6862000000.0,2904000000.0,43395000000.0,67789000000.0,4417000000.0,1922000000.0,12387000000.0,17867000000.0,19789000000.0,0.0,1378000000.0,0.0,32188000000.0,44575000000.0,-8840000000.0,23956000000.0,22237000000.0,6862000000.0,13501000000.0,730000000.0,6048000000.0
2014-12-31,5654000000.0,0.0,5654000000.0,9992000000.0,8101000000.0,24255000000.0,18051000000.0,16400000000.0,7260000000.0,2947000000.0,44432000000.0,68687000000.0,4481000000.0,933000000.0,11581000000.0,18741000000.0,19674000000.0,0.0,1088000000.0,0.0,33752000000.0,45333000000.0,-8017000000.0,23045000000.0,22423000000.0,7260000000.0,14020000000.0,508000000.0,6167000000.0
2014-09-30,5768000000.0,0.0,5768000000.0,10192000000.0,9019000000.0,25730000000.0,17694000000.0,16664000000.0,7270000000.0,2396000000.0,43843000000.0,69573000000.0,4846000000.0,781000000.0,12087000000.0,19001000000.0,19782000000.0,0.0,1313000000.0,0.0,30775000000.0,42862000000.0,-5371000000.0,22792000000.0,25731000000.0,7270000000.0,14014000000.0,751000000.0,6460000000.0
2014-06-30,3843000000.0,0.0,3843000000.0,10778000000.0,8926000000.0,24283000000.0,17901000000.0,16938000000.0,7243000000.0,2534000000.0,44473000000.0,68756000000.0,4883000000.0,795000000.0,11879000000.0,17036000000.0,17831000000.0,0.0,1344000000.0,0.0,29142000000.0,41021000000.0,-4729000000.0,22372000000.0,26753000000.0,7243000000.0,13988000000.0,736000000.0,6201000000.0
2014-03-31,4385000000.0,0.0,4385000000.0,10854000000.0,9102000000.0,25062000000.0,17573000000.0,17021000000.0,7094000000.0,2635000000.0,44171000000.0,69233000000.0,4971000000.0,877000000.0,12226000000.0,16936000000.0,17813000000.0,0.0,1449000000.0,0.0,29284000000.0,41510000000.0,-4824000000.0,21929000000.0,26741000000.0,7094000000.0,13428000000.0,721000000.0,6378000000.0
2013-12-31,5940000000.0,0.0,5940000000.0,10012000000.0,8303000000.0,24977000000.0,17454000000.0,17112000000.0,7407000000.0,2707000000.0,44524000000.0,69501000000.0,4590000000.0,1140000000.0,11971000000.0,16820000000.0,17960000000.0,0.0,1286000000.0,0.0,29606000000.0,41577000000.0,-4827000000.0,21407000000.0,26898000000.0,7407000000.0,12020000000.0,722000000.0,6241000000.0
2013-09-30,5272000000.0,0.0,5272000000.0,10117000000.0,8892000000.0,25009000000.0,17360000000.0,17150000000.0,7081000000.0,3681000000.0,45197000000.0,70206000000.0,4864000000.0,1132000000.0,11993000000.0,17487000000.0,18619000000.0,0.0,1349000000.0,0.0,33195000000.0,45188000000.0,-7070000000.0,20830000000.0,24005000000.0,7081000000.0,13347000000.0,728000000.0,5997000000.0
2013-06-30,4883000000.0,0.0,4883000000.0,10756000000.0,8836000000.0,25327000000.0,17202000000.0,17175000000.0,6714000000.0,3785000000.0,44815000000.0,70142000000.0,4812000000.0,1351000000.0,12613000000.0,17475000000.0,18826000000.0,0.0,1787000000.0,0.0,33329000000.0,45942000000.0,-7526000000.0,20620000000.0,23211000000.0,6714000000.0,13943000000.0,852000000.0,6450000000.0
2013-03-31,3514000000.0,0.0,3514000000.0,10750000000.0,9335000000.0,24248000000.0,17268000000.0,17272000000.0,6658000000.0,3863000000.0,45056000000.0,69304000000.0,4938000000.0,1333000000.0,12440000000.0,18753000000.0,20086000000.0,0.0,1357000000.0,0.0,34868000000.0,47308000000.0,-7694000000.0,18662000000.0,20998000000.0,6658000000.0,16572000000.0,649000000.0,6169000000.0
2012-12-31,4318000000.0,0.0,4318000000.0,9992000000.0,8476000000.0,23684000000.0,17520000000.0,17450000000.0,6999000000.0,4210000000.0,45921000000.0,69605000000.0,5010000000.0,1068000000.0,11493000000.0,19919000000.0,20987000000.0,0.0,1183000000.0,0.0,36245000000.0,47738000000.0,-7516000000.0,18495000000.0,20877000000.0,6999000000.0,16669000000.0,898000000.0,5415000000.0
2012-09-30,3885000000.0,0.0,3885000000.0,11204000000.0,8630000000.0,23465000000.0,17557000000.0,17782000000.0,7171000000.0,3073000000.0,45903000000.0,69368000000.0,4627000000.0,2186000000.0,12795000000.0,18216000000.0,20402000000.0,0.0,1522000000.0,0.0,31612000000.0,44407000000.0,-5481000000.0,19591000000.0,23830000000.0,7171000000.0,16517000000.0,-254000000.0,5982000000.0
2012-06-30,4128000000.0,2000000.0,4130000000.0,11116000000.0,8380000000.0,23198000000.0,17353000000.0,17794000000.0,6973000000.0,3044000000.0,45644000000.0,68842000000.0,4586000000.0,2353000000.0,12629000000.0,18304000000.0,20657000000.0,0.0,1501000000.0,0.0,31989000000.0,44618000000.0,-5967000000.0,19473000000.0,23121000000.0,6975000000.0,16527000000.0,-428000000.0,5690000000.0
2012-03-31,3608000000.0,2000000.0,3610000000.0,11771000000.0,8882000000.0,23911000000.0,17279000000.0,17956000000.0,6980000000.0,3119000000.0,45687000000.0,69598000000.0,4944000000.0,2353000000.0,13465000000.0,18224000000.0,20577000000.0,0.0,1700000000.0,0.0,32082000000.0,45547000000.0,-5586000000.0,19203000000.0,23026000000.0,6982000000.0,16967000000.0,-352000000.0,6168000000.0
2011-12-31,5444000000.0,2000000.0,5446000000.0,10770000000.0,7577000000.0,23422000000.0,17299000000.0,17991000000.0,7057000000.0,3030000000.0,45802000000.0,69224000000.0,4778000000.0,3290000000.0,13634000000.0,18310000000.0,21600000000.0,0.0,1602000000.0,0.0,32299000000.0,45933000000.0,-5996000000.0,19087000000.0,22281000000.0,7059000000.0,16154000000.0,-371000000.0,5566000000.0
2011-09-30,2206000000.0,0.0,2206000000.0,10449000000.0,8416000000.0,21754000000.0,17793000000.0,18206000000.0,6333000000.0,2684000000.0,45197000000.0,66951000000.0,4429000000.0,2561000000.0,12887000000.0,17042000000.0,19603000000.0,0.0,1835000000.0,0.0,28923000000.0,41810000000.0,-4290000000.0,19400000000.0,24152000000.0,6333000000.0,17397000000.0,683000000.0,5897000000.0
2011-06-30,2223000000.0,0.0,2223000000.0,11092000000.0,8739000000.0,22699000000.0,18049000000.0,18468000000.0,6290000000.0,2630000000.0,45748000000.0,68447000000.0,4893000000.0,1577000000.0,12429000000.0,18511000000.0,20088000000.0,0.0,1708000000.0,0.0,30979000000.0,43408000000.0,-3647000000.0,18877000000.0,24185000000.0,6290000000.0,17865000000.0,645000000.0,5959000000.0
2011-03-31,3562000000.0,0.0,3562000000.0,10671000000.0,8132000000.0,22983000000.0,17785000000.0,18501000000.0,6107000000.0,2743000000.0,45459000000.0,68442000000.0,4836000000.0,2316000000.0,12984000000.0,19078000000.0,21394000000.0,0.0,1813000000.0,0.0,31621000000.0,44605000000.0,-3881000000.0,18187000000.0,23021000000.0,6107000000.0,17832000000.0,618000000.0,5832000000.0
2010-12-31,7039000000.0,0.0,7039000000.0,9432000000.0,7087000000.0,24130000000.0,17668000000.0,18497000000.0,6383000000.0,2690000000.0,45458000000.0,69588000000.0,4356000000.0,3222000000.0,13896000000.0,20605000000.0,23827000000.0,0.0,1749000000.0,0.0,33050000000.0,46946000000.0,-4399000000.0,17736000000.0,21839000000.0,6383000000.0,16788000000.0,572000000.0,6318000000.0
2010-09-30,3223000000.0,4000000.0,3227000000.0,9917000000.0,7283000000.0,20669000000.0,17416000000.0,18625000000.0,6239000000.0,2451000000.0,45332000000.0,66001000000.0,3978000000.0,3101000000.0,13159000000.0,18030000000.0,21131000000.0,0.0,1690000000.0,0.0,30238000000.0,43397000000.0,-3810000000.0,17478000000.0,21906000000.0,6243000000.0,17904000000.0,242000000.0,6080000000.0
2010-06-30,3293000000.0,6000000.0,3299000000.0,9526000000.0,6933000000.0,20080000000.0,16973000000.0,18471000000.0,6073000000.0,2490000000.0,44514000000.0,64594000000.0,4211000000.0,3335000000.0,13347000000.0,18108000000.0,21443000000.0,0.0,1622000000.0,0.0,30080000000.0,43427000000.0,-4780000000.0,17140000000.0,20490000000.0,6079000000.0,18144000000.0,322000000.0,5801000000.0
2010-03-31,2923000000.0,0.0,2923000000.0,10703000000.0,7020000000.0,21311000000.0,17332000000.0,18913000000.0,5805000000.0,2838000000.0,46235000000.0,67546000000.0,4652000000.0,4367000000.0,14905000000.0,18835000000.0,23202000000.0,0.0,1733000000.0,0.0,31549000000.0,46454000000.0,-4258000000.0,16746000000.0,20417000000.0,5805000000.0,20279000000.0,665000000.0,5886000000.0
2009-12-31,2846000000.0,0.0,2846000000.0,9405000000.0,6847000000.0,19542000000.0,18141000000.0,19179000000.0,5995000000.0,2693000000.0,46476000000.0,66018000000.0,4153000000.0,3221000000.0,13105000000.0,19152000000.0,22373000000.0,0.0,1621000000.0,0.0,31789000000.0,44894000000.0,-3892000000.0,16704000000.0,20555000000.0,5995000000.0,19527000000.0,444000000.0,5731000000.0
