date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2014-01-24,1304000000.0,12363000000.0,13667000000.0,3619000000.0,1782000000.0,20386000000.0,2408000000.0,12965000000.0,0.0,855000000.0,16845000000.0,37231000000.0,567000000.0,2618000000.0,5632000000.0,9601000000.0,12219000000.0,0.0,1852000000.0,0.0,12245000000.0,17877000000.0,-618000000.0,19872000000.0,19354000000.0,12363000000.0,-1448000000.0,1318000000.0,2447000000.0
2013-10-25,1066000000.0,11518000000.0,12584000000.0,3792000000.0,1825000000.0,19483000000.0,2448000000.0,13072000000.0,0.0,830000000.0,16985000000.0,36468000000.0,620000000.0,2647000000.0,5496000000.0,9637000000.0,12284000000.0,0.0,1784000000.0,0.0,12228000000.0,17724000000.0,-567000000.0,19211000000.0,18744000000.0,11518000000.0,-300000000.0,1282000000.0,2229000000.0
2013-07-26,828000000.0,10576000000.0,11404000000.0,3627000000.0,1778000000.0,18090000000.0,2444000000.0,12953000000.0,0.0,764000000.0,16882000000.0,34972000000.0,627000000.0,1543000000.0,4285000000.0,9637000000.0,11180000000.0,0.0,1690000000.0,0.0,12168000000.0,16453000000.0,-576000000.0,18995000000.0,18519000000.0,10576000000.0,-224000000.0,1281000000.0,2115000000.0
2013-04-26,919000000.0,10211000000.0,11130000000.0,3727000000.0,1712000000.0,17852000000.0,2490000000.0,13002000000.0,0.0,771000000.0,17048000000.0,34900000000.0,681000000.0,910000000.0,3950000000.0,9741000000.0,10651000000.0,0.0,1612000000.0,0.0,12279000000.0,16229000000.0,-492000000.0,19061000000.0,18671000000.0,10211000000.0,-479000000.0,1283000000.0,2359000000.0
2013-01-25,1298000000.0,1166000000.0,2464000000.0,3532000000.0,1889000000.0,9161000000.0,2502000000.0,13099000000.0,9321000000.0,1048000000.0,25788000000.0,34949000000.0,569000000.0,4104000000.0,6958000000.0,7314000000.0,11418000000.0,0.0,1858000000.0,0.0,10155000000.0,17113000000.0,-472000000.0,18207000000.0,17836000000.0,10487000000.0,8954000000.0,1276000000.0,2285000000.0
2012-10-26,1759000000.0,916000000.0,2675000000.0,3612000000.0,1877000000.0,9435000000.0,2447000000.0,12444000000.0,8816000000.0,1063000000.0,24525000000.0,33960000000.0,551000000.0,4097000000.0,6621000000.0,7355000000.0,11452000000.0,0.0,1710000000.0,0.0,10164000000.0,16785000000.0,-484000000.0,17558000000.0,17175000000.0,9732000000.0,8777000000.0,1271000000.0,1973000000.0
2012-07-27,861000000.0,1630000000.0,2491000000.0,3448000000.0,1854000000.0,9183000000.0,2451000000.0,12492000000.0,8259000000.0,1146000000.0,24069000000.0,33252000000.0,521000000.0,3391000000.0,5811000000.0,7386000000.0,10777000000.0,0.0,1850000000.0,0.0,10186000000.0,15997000000.0,-515000000.0,17667000000.0,17255000000.0,9889000000.0,8286000000.0,1390000000.0,1899000000.0
2012-04-27,1172000000.0,8178000000.0,9350000000.0,3808000000.0,1800000000.0,16336000000.0,2473000000.0,12581000000.0,0.0,879000000.0,16482000000.0,32818000000.0,565000000.0,3274000000.0,5927000000.0,7359000000.0,10633000000.0,0.0,1449000000.0,0.0,9778000000.0,15705000000.0,-473000000.0,17482000000.0,17113000000.0,8178000000.0,1283000000.0,1378000000.0,2088000000.0
2012-01-27,1190000000.0,1155000000.0,2345000000.0,3665000000.0,1819000000.0,9308000000.0,2480000000.0,12628000000.0,7096000000.0,605000000.0,22603000000.0,31911000000.0,491000000.0,1972000000.0,4562000000.0,8248000000.0,10220000000.0,0.0,1255000000.0,0.0,10180000000.0,14742000000.0,-276000000.0,17340000000.0,17169000000.0,8251000000.0,7875000000.0,1479000000.0,2099000000.0
2011-10-28,1048000000.0,1118000000.0,2166000000.0,3837000000.0,1840000000.0,9014000000.0,2535000000.0,12819000000.0,7013000000.0,587000000.0,22739000000.0,31753000000.0,543000000.0,2050000000.0,4734000000.0,8222000000.0,10272000000.0,0.0,1217000000.0,0.0,10280000000.0,15014000000.0,-157000000.0,16790000000.0,16739000000.0,8131000000.0,8106000000.0,1171000000.0,2141000000.0
2011-07-29,1393000000.0,1128000000.0,2521000000.0,3745000000.0,1808000000.0,9285000000.0,2521000000.0,12236000000.0,6655000000.0,610000000.0,21806000000.0,31091000000.0,537000000.0,1857000000.0,4805000000.0,8195000000.0,10052000000.0,0.0,1029000000.0,0.0,9946000000.0,14751000000.0,-85000000.0,16319000000.0,16340000000.0,7783000000.0,7531000000.0,1211000000.0,2411000000.0
2011-04-29,1382000000.0,1046000000.0,2428000000.0,3761000000.0,1619000000.0,9150000000.0,2488000000.0,12245000000.0,6116000000.0,837000000.0,21525000000.0,30675000000.0,495000000.0,1723000000.0,4726000000.0,8112000000.0,9835000000.0,0.0,1014000000.0,0.0,9981000000.0,14707000000.0,-224000000.0,16085000000.0,15968000000.0,7162000000.0,7407000000.0,1342000000.0,2508000000.0
2011-01-28,1283000000.0,2184000000.0,3467000000.0,3472000000.0,1682000000.0,9986000000.0,2507000000.0,12286000000.0,5578000000.0,728000000.0,20611000000.0,30597000000.0,486000000.0,3674000000.0,6414000000.0,7084000000.0,10758000000.0,0.0,893000000.0,0.0,8825000000.0,15239000000.0,-225000000.0,15476000000.0,15358000000.0,7762000000.0,7291000000.0,1365000000.0,2254000000.0
2010-10-29,1256000000.0,2288000000.0,3544000000.0,3453000000.0,1635000000.0,9894000000.0,2458000000.0,11197000000.0,5448000000.0,681000000.0,19417000000.0,29311000000.0,438000000.0,3417000000.0,5895000000.0,7148000000.0,10565000000.0,0.0,803000000.0,0.0,8591000000.0,14486000000.0,-397000000.0,15114000000.0,14825000000.0,7736000000.0,7021000000.0,1262000000.0,2040000000.0
2010-07-30,1364000000.0,2553000000.0,3917000000.0,3230000000.0,1577000000.0,9997000000.0,2420000000.0,10905000000.0,5057000000.0,558000000.0,18663000000.0,28660000000.0,410000000.0,3428000000.0,5611000000.0,7080000000.0,10508000000.0,0.0,873000000.0,0.0,8448000000.0,14059000000.0,-353000000.0,14846000000.0,14601000000.0,7610000000.0,6591000000.0,1273000000.0,1773000000.0
2010-04-30,1400000000.0,2375000000.0,3775000000.0,3335000000.0,1481000000.0,9839000000.0,2421000000.0,10950000000.0,4632000000.0,544000000.0,18251000000.0,28090000000.0,420000000.0,2575000000.0,5121000000.0,6944000000.0,9519000000.0,0.0,919000000.0,0.0,8340000000.0,13461000000.0,-307000000.0,14826000000.0,14629000000.0,7007000000.0,5744000000.0,1248000000.0,2126000000.0
2010-01-29,1463000000.0,829000000.0,2292000000.0,3131000000.0,1468000000.0,7979000000.0,2377000000.0,10519000000.0,4020000000.0,550000000.0,17189000000.0,25168000000.0,399000000.0,1430000000.0,3794000000.0,5996000000.0,7426000000.0,0.0,857000000.0,0.0,7054000000.0,10848000000.0,-201000000.0,14410000000.0,14320000000.0,4849000000.0,5134000000.0,1088000000.0,1965000000.0
2009-10-30,826000000.0,716000000.0,1542000000.0,3232000000.0,1474000000.0,16972000000.0,2370000000.0,10596000000.0,3751000000.0,565000000.0,7398000000.0,24284000000.0,396000000.0,1128000000.0,3278000000.0,6368000000.0,7496000000.0,0.0,700000000.0,0.0,7398000000.0,10676000000.0,-253000000.0,13750000000.0,13608000000.0,4467000000.0,5954000000.0,1064000000.0,1754000000.0
2009-07-31,1022000000.0,522000000.0,1544000000.0,3113000000.0,1492000000.0,16290000000.0,2333000000.0,10634000000.0,3037000000.0,600000000.0,7298000000.0,23574000000.0,373000000.0,658000000.0,3132000000.0,6307000000.0,6965000000.0,0.0,670000000.0,0.0,7298000000.0,10430000000.0,-210000000.0,13243000000.0,13144000000.0,3559000000.0,5421000000.0,1135000000.0,2101000000.0
